project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
SVProgressHUD,3,1,3,2,9,128,26,2,1,0,0,1,1,1.0,Objective-C,6,Non-web libraries and frameworks,Organization
Alcatraz,4,1,2,3,19,186,23,4,1,1,0,1,1,1.0,Objective-C,4,Software tools,Organization
IQKeyboardManager,2,1,1,2,17,202,33,3,1,0,1,1,1,1.0,Objective-C,4,Non-web libraries and frameworks,User
iCarousel,1,1,1,1,5,125,29,1,1,0,1,1,1,0.0,Objective-C,6,Non-web libraries and frameworks,User
CocoaLumberjack,5,1,1,5,15,119,23,4,1,0,1,1,1,1.333,Objective-C,6,Non-web libraries and frameworks,Organization
WebViewJavascriptBridge,2,1,1,2,8,130,27,7,1,0,1,1,1,0.0,Objective-C,6,Non-web libraries and frameworks,User
DZNEmptyDataSet,3,1,1,3,14,230,32,4,1,0,1,1,1,0.0,Objective-C,3,Non-web libraries and frameworks,User
CocoaAsyncSocket,2,1,2,2,5,129,33,4,0,0,1,1,1,1.0,Objective-C,6,Non-web libraries and frameworks,User
PNChart,3,1,1,3,12,187,36,2,1,0,1,1,1,0.0,Objective-C,4,Non-web libraries and frameworks,User
VVDocumenter-Xcode,2,1,1,2,8,165,32,1,1,0,1,1,1,0.0,Objective-C,4,Software tools,User
FLEX,2,1,1,2,15,210,22,2,1,1,1,1,1,1.0,Objective-C,3,Software tools,Organization
bitbar,8,1,4,11,35,186,9,4,1,0,0,1,1,1.0,Objective-C,4,Software tools,User
spectacle,1,1,1,1,14,96,6,2,1,1,0,1,1,0.0,Objective-C,7,Web libraries and frameworks,User
Shimmer,1,1,1,1,3,184,23,2,1,1,1,1,1,0.0,Objective-C,3,Non-web libraries and frameworks,Organization
UITableView-FDTemplateLayoutCell,1,1,1,1,9,269,58,2,1,0,1,1,1,0.0,Objective-C,2,Non-web libraries and frameworks,Organization
postgrest,10,1,2,8,33,283,12,3,1,1,1,1,1,1.333,Haskell,3,Web libraries and frameworks,User
pandoc,9,1,2,8,72,104,13,11,1,1,1,1,1,1.167,Haskell,7,Non-web libraries and frameworks,User
shellcheck,2,1,1,1,15,157,9,2,1,0,1,1,1,1.333,Haskell,5,Software tools,User
elm-compiler,9,1,3,7,67,65,4,3,1,0,0,1,1,1.0,Haskell,5,Software tools,Organization
Haxl,2,1,2,2,6,70,6,1,0,0,1,1,1,1.0,Haskell,3,Non-web libraries and frameworks,Organization
write-you-a-haskell,3,1,1,3,14,55,4,14,1,0,1,1,1,0.0,Haskell,2,,User
yesod,7,1,1,5,44,18,4,5,1,0,1,1,1,1.2,Haskell,8,,Organization
ghcjs,2,1,1,2,16,22,2,9,0,0,1,1,1,1.0,Haskell,7,,Organization
corrode,3,1,1,3,34,97,6,4,1,1,0,1,1,0.0,Haskell,1,,User
hakyll,3,1,1,3,18,18,3,4,0,0,1,1,1,1.0,Haskell,8,,User
IHaskell,5,1,2,4,31,31,3,6,1,0,1,1,1,1.0,Haskell,4,,User
gitit,2,1,1,2,16,14,2,9,0,0,1,1,1,0.0,Haskell,9,,User
lamdu,1,1,1,1,97,22,1,4,1,0,1,1,1,1.0,Haskell,6,,Organization
HLearn,1,1,2,1,19,22,2,8,1,0,1,1,1,0.0,Haskell,5,,User
haste-compiler,2,0,1,1,27,19,2,10,1,0,1,1,1,0.0,Haskell,5,,User
unison,3,0,1,3,33,40,2,5,1,0,1,1,1,0.0,Haskell,2,,Organization
fay,4,0,2,2,20,18,2,3,1,0,1,1,1,1.0,Haskell,5,,Organization
lens,5,1,1,4,63,19,3,2,0,0,1,1,1,1.25,Haskell,5,,User
yi,5,1,2,4,42,15,2,4,1,0,1,1,1,1.333,Haskell,6,,Organization
scotty,2,1,1,1,7,18,2,2,1,0,1,1,1,1.0,Haskell,6,,Organization
Carp,6,1,3,5,76,52,2,4,1,0,1,1,1,0.0,Haskell,1,,Organization
wiwinwlh,4,1,1,3,21,30,4,12,1,0,0,1,0,1.0,Haskell,3,,User
zsh-git-prompt,1,1,1,1,6,12,3,3,1,0,0,1,1,0.0,Haskell,7,,User
grenade,2,1,1,2,13,55,3,3,1,0,1,1,1,1.0,Haskell,1,,User
lantern,16,1,3,15,92,444,119,19,1,0,1,1,1,0.0,Go,6,Application software,Organization
gogs,27,1,8,20,111,476,55,6,1,0,1,0,1,1.2,Go,3,Software tools,Organization
syncthing,33,1,19,20,95,372,31,7,1,1,1,1,1,1.0,Go,4,Software tools,Organization
gin,10,1,4,8,26,297,34,3,1,1,0,0,1,1.444,Go,3,Web libraries and frameworks,Organization
hub,6,1,3,5,28,123,11,6,1,1,0,1,1,1.2,Go,8,Software tools,Organization
ngrok,1,1,1,1,11,206,31,4,1,0,0,1,1,0.0,Go,4,Software tools,User
cayley,8,1,3,7,30,262,22,9,1,0,0,1,1,1.0,Go,3,System software,Organization
nsq,9,1,2,8,28,161,21,7,1,1,0,0,1,1.0,Go,5,System software,Organization
fzf,4,1,2,3,30,213,9,5,1,0,1,0,1,1.286,Go,4,Software tools,User
martini,5,0,2,5,18,205,21,1,1,0,0,1,1,0.0,Go,4,Web libraries and frameworks,Organization
revel,8,1,4,6,23,125,17,4,1,1,1,1,1,0.0,Go,6,Web libraries and frameworks,Organization
websocketd,2,1,1,2,7,160,8,3,1,0,1,1,1,0.0,Go,4,Software tools,User
cowboy,5,1,3,4,20,54,10,3,0,0,0,0,1,0.0,Erlang,6,System software,Organization
